name, latitude, longitude, rating, num_reviews, neighborhoods
Hot Chicken Takeover,39.9718969436,-83.0038497415,4.5,285, 'Short North'
Brothers Drake Meadery & Bar,39.987312,-83.004593,4.5,135, 'Short North
Mission Coffee Co.,39.9806786,-83.0046997,4.5,96, 'Short North'
Northstar Café,39.9816278368,-83.0045112222,4.5,620, 'Short North'
One Line Coffee - Short North,39.9775933,-83.0038307,4.5,93, 'Short North'
Fox In the Snow Cafe,39.984252,-82.99942,4.5,123, 'Italian Village'
Ray Ray's Hog Pit,40.0156875853,-83.011794048,4.5,245, 'University District'
El Arepazo Latin Grill,39.9634399,-83.0001297,4.5,213, 'Downtown'
Da Levee,39.9780884,-83.0039215,4.5,184, 'Short North'
Pistacia Vera,39.951168,-82.995872,4.5,423, 'German Village'
North High Brewing,39.988655,-83.005432,4.5,84, 'Short North
Cravings Carryout Cafe,39.9835346,-82.998605,4.5,31, 'Italian Village'
Upper Cup Coffee,39.962524,-82.981895,4.5,93, 'Olde Towne East'
Café del Mondo,39.9765205,-82.9984589,4.5,64, 'Italian Village'
Katalina's,39.983716,-83.015735,4,347, 'Harrison West'
Mikey's Late Night Slice,39.9832695176,-83.0043697357,4,141, 'Short North
DareDevil Dogs,39.991627,-83.006844,4.5,43, 'University District'
Seventh Son Brewing Co,39.9853986661,-82.9996705055,4,91, 'Italian Village'
Raising Canes Chicken Fingers,39.9993706,-83.0075378,4.5,64, 'University District'
Wexner Center For the Arts,40.0004692,-83.0089722,4.5,45, 'University District'
Wolf's Ridge Brewing,39.96727,-82.997612,4,275, 'Downtown'
Buckeye Donuts,40.0030708,-83.0084915,4,120, 'University District'
Marcella's,39.9749184,-83.0032501,4,326, 'Short North'
Café Brioso,39.9637909,-83.0003815,4.5,140, 'Downtown'
Cap City Fine Diner and Bar,39.987084,-83.025016,4,278, 'Grandview Heights'
Studio 35 Cinema & Drafthouse,40.0260238647,-83.0018310547,4.5,109, 'Clintonville'
Tasi,39.9763794,-83.0024109,4,289, 'Short North
Mouton,39.981876,-83.004097,4,107, 'Short North'
B & K Smoke House,39.9578515,-82.9695756,4.5,56, 'Olde Towne East'
Harvest Kitchen + Bar,40.0208808576,-83.0131830319,4.5,131, 'Clintonville'
Basi Italia,39.978184,-83.010719,4,168, 'Victorian Village'
Tokyo GoGo,39.9872513,-83.0045395,4.5,24, 'Short North
Martini Modern Italian,39.971424,-83.002876,4,172, 'Short North'
16-Bit Bar + Arcade,39.9573813594,-82.9953030918,4,148, 'Downtown'
Goodale Park,39.9736844748,-83.0049041659,4.5,61, 'Short North
Ohio History Connection,40.0010109,-82.9881439,4.5,27, 'Linden'
Luck Bros Coffee House,39.9795417786,-83.0340423584,4.5,127, 'Grandview Heights'
Si Señor,39.9632338,-82.9986649,4.5,37, 'Downtown'
Hubert's Polish Kitchen,39.972245,-83.004373,4.5,45, 'Short North'
St James Tavern,39.9846343994,-82.99949646,4,61, 'Italian Village'
Alana's Food & Wine,40.009819,-83.010559,4,109, 'University District'
Pistacia Vera,39.9721456,-83.0043013,4.5,22, 'Short North'
Wine on High,39.978485,-83.004091,4,47, 'Short North'
Press Grill,39.9805557111,-83.0046490281,4,158, 'Short North'
Harvest Pizzeria,39.9524688721,-82.9945831299,4.5,214, 'German Village'
Adriatico's New York Style Pizza,39.9954366029,-83.0140552844,4,155, 'University District'
Curio,39.9525563647,-82.9946663069,4.5,95, 'German Village'
Bakersfield Short North,39.9773293,-83.0037384,4,197, 'Short North'
Junior's Tacos,39.9874784266,-83.0106139183,4,103, 'University District'
Philco Bar + Diner,39.9777107,-83.00383,4,122, 'Short North'
ZenCha Tea Salon,39.9823799,-83.0044022,4,181, 'Short North
Krema Nut Company,39.9746704,-83.0301895,4.5,40, 'Grandview Heights'
Market 65,39.9600716,-82.99823,4.5,84, 'Downtown'
Third and Hollywood,39.9851063,-83.0439606,4,194, 'Grandview Heights'
Rossi,39.9807827811,-83.0043865295,4,154, 'Short North'
Grandview Grind,39.9869537413,-83.0456580529,4.5,67, 'Grandview Heights'
Barley's Brewing Company,39.971916,-83.002899,4,226, 'Short North'
Skillet,39.944412,-82.9859843,4.5,355, 'Schumacher Place'
Nida's Thai on High,39.9822388,-83.0043716,4,190, 'Short North
Till,39.990602,-83.012935,4,168, 'University District'
Dirty Frank's Hot Dog Palace,39.9575005,-82.9949799,4,634, 'Downtown'
Dewey's Pizza,39.9885483,-83.041832,4,145, 'Grandview Heights'
Fusian,39.9948095,-83.0066693,4,79, 'University District'
House Beer,39.9795609,-83.0042038,4,42, 'Short North'
