name, latitude, longitude, rating, num_reviews
Marco's Pizza,40.052597,-83.0670547,5,4
Cowtown Pizza,39.9972992,-83.044838,5,1
Kingro's,39.9441459775,-83.0699960142,5,1
Papa John's Pizza,40.0636786222,-83.0540703982,5,1
Domino's Pizza,40.056449,-83.07447,5,1
Karl Fish Chicken & Pizza,40.056095,-82.975799,5,1
Cj's Restaurant,39.9459014833,-82.8978840262,5,1
Harvest Pizzeria,39.9524688721,-82.9945831299,4.5,227
Bono Pizza,39.9969884,-83.0454652,4.5,47
Harvest Bar + Kitchen,40.0208808576,-83.0131830319,4.5,160
Brenz Pizza Co.,39.9915284048,-83.027188613,4.5,13
Anthony's Pizzeria,39.9565706402,-82.9360813648,4.5,36
Casa Di Pizza,39.9862785,-83.0756607,4.5,21
Meister's Bar,39.9937363,-83.0390778,4.5,53
Terita's Pizza Carry Out,40.0485534668,-82.9551086426,4.5,18
Minelli's Pizza,39.9774895,-83.1021194,4.5,15
Susie's Sub Shop,40.023708,-82.980583,4.5,9
D & E-Z-O's Pizza,39.92984,-83.0385,4.5,3
Fero's Pizza & More,39.9495244771,-82.9676985741,4.5,3
B & B Pizza & Spaghetti,40.0429992676,-82.9777450562,4.5,10
Oldfield's North Fourth Tavern,39.9953047,-82.9991771,4.5,7
Colombini's Sports Diner,39.9596241,-83.0245533,4.5,3
Adriatico's New York Style Pizza,39.9954366029,-83.0140552844,4,162
Hounddog's Three Degree Pizza,40.0163689,-83.0120163,4,289
OH Pizza & Brew,39.9678423815,-82.9988579051,4,80
Dewey's Pizza,39.9885483,-83.041832,4,151
Mikey's Late Night Slice,39.9832695176,-83.0043697357,4,152
Pizza Cucinova,39.9848175,-83.02285,4,53
Pies and Pints,39.9831581,-83.00457,4,22
Rubino's Pizza,39.9566192627,-82.9280395508,4,106
Tommy's Pizza,40.007205,-83.046867,4,79
Halwani Cuisine,39.9872933328,-83.0446679145,4,33
George's Pizza,40.0205426663,-83.0250804126,4,19
Sarefino's Pizzerria & Italian Deli,39.97217,-83.00416,4,26
Grandad's Pizza,39.985118866,-83.0391159058,4,33
Blaze Fast-Fire'd Pizza,39.99713,-83.00732,4,27
Dante's Pizza,40.0371160358,-83.0005837977,4,27
zpizza,39.9814491,-83.0045776,4,103
Sparano's Pizza,39.9930841,-83.0915127,4,29
Gatto's Pizza,40.0219802856,-83.0128860474,4,28
Cousin Vinny's Pizza,40.05957,-83.04813,4,24
Bexley Pizza Plus,39.9566116333,-82.9278259277,4,38
Tommy's Pizza,40.0064414466,-83.0139564019,4,27
Slammers,39.9658966064,-82.9956665039,4,26
Pizza Cucinova,40.0532155197,-82.9192686081,4,77
Josie's Pizza,39.9594192505,-83.0260925293,4,9
Grandad's Pizza,40.06109,-82.9810399,4,15
Domino's Pizza,40.00672,-83.0095,4,8
Grandma's Pizza & Pasta,39.9588089,-83.0275421,4,4
Pies & Pints,40.055680622,-82.9069934414,4,58
The Flat Top Pizza Company,39.9829515,-82.990829,4,2
Antolino's Pizza,40.0581818,-82.9350815,4,13
Mikey's Late Night Slice,40.0155106,-83.0112686,4,41
TT Murph's,39.9472198486,-82.9165496826,4,11
Bella's Pizza,39.9344329839,-83.0896800756,4,4
Minelli's Restaurant & Pizza Carry Out,39.942608,-83.101418,4,12
Grandma's Pizza & Pasta,39.9365975708,-83.0429144204,4,5
Mama Mimi's Take N Bake Pizza,40.021801,-83.0136185,4,29
De-Arini's Villa,40.0566101,-83.0710068,4,5
Figlio,39.9857292,-83.0451279,4,87
Tony's Pizza,39.9853325,-83.0404739,4,1
Mama Mimi's Pizza,39.9914589,-83.0486221,4,32
Ange's Pizza,40.0651016,-83.0565414,4,1
Mikey's Late Night Slice,39.9955338183,-83.0013656616,4,1
Tito's Pizza,39.936382,-82.898064,4,1
Little Caesars Pizza,39.9888857,-83.0393505,4,7
Donatos Pizza,40.0456542969,-82.9076766968,4,1
Yogi's Hoagies,40.061111,-82.9848574,4,7
Little Caesars Pizza,39.9430616945,-83.0379261822,4,3
Mama Mimi's Take N Bake Pizza,40.0570119917,-83.0746161193,4,10
Chuck E. Cheese's,39.9548683,-83.0978699,4,4
Sbarro,40.049984,-82.9153442,4,2
Yellow Brick Pizza,39.9630966,-82.9766083,3.5,167
Fabian's,39.9765838605,-83.003690245,3.5,82
Rotolo's Pizza,39.9889030457,-83.0533599854,3.5,27
Cafe Napolitana,39.9632453918,-83.0003204346,3.5,51
